Product_Name,Product_Price,Product_Rating
Google Pixel 4 XL - Clearly White - 128GB Phone,"85,500",4.2 out of 5 stars
"(Renewed) Google Pixel 2 XL (18:9 Display, 64 GB) Black","22,999",3.6 out of 5 stars
"Google Pixel 4a (Just Black, 6GB RAM, 128GB Storage)","36,600",4.7 out of 5 stars
"(Renewed) Google Pixel 4a (Just Black, 6GB RAM, 128GB Storage)","27,999",1.0 out of 5 stars
Google Pixel 5 5G 128GB - Just Black,"69,850",4.5 out of 5 stars
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage)",,4.4 out of 5 stars
"OnePlus Nord 5G (Blue Marble, 12GB RAM, 256GB Storage)","29,999",4.2 out of 5 stars
"Google Pixel 4 XL (Just Black, 6GB RAM, 128GB Storage)","81,200",4.3 out of 5 stars
"Google Pixel 5 5G (Sorta Sage, 8GB RAM, 128GB Storage)","69,600",3.0 out of 5 stars
"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers","4,999",3.4 out of 5 stars
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI",,4.2 out of 5 stars
"OnePlus Nord 5G (Gray Ash, 12GB RAM, 256GB Storage)","29,999",4.2 out of 5 stars
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)",,4.2 out of 5 stars
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)",,4.2 out of 5 stars
"Google Pixel 5 5G (Sorta Sage, 8GB RAM, 128GB Storage)","72,250",1.0 out of 5 stars
"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | Extra Upto INR 1500 Off on Exchange | Upto 12 Months No Cost EMI","18,499",4.1 out of 5 stars
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Charcoal","13,499",3.7 out of 5 stars
"Vivo Y30 (Dazzle Blue, 6GB RAM, 128GB ROM) with No Cost EMI/Additional Exchange Offers","14,990",2.7 out of 5 stars
